Topic,Group ID,Documents,Words
Topic 17, CVC-UNCC-07-07,0.07889547892058175,181.3018105594969
Topic 17, CVC-UNCC-07-08,-0.073891858912805,-177.11878581399358
Topic 17, CVC-UNCC-07-09,0.041380019152684785,110.07085094614153
Topic 17, CVC-UNCC-07-10,-1.0132480144083866E-6,-0.0025756764526261187
Topic 17, CVC-UNCC-07-11,0.09915363823917565,270.8877396694279
Topic 17, CVC-UNCC-07-12,7.102461829242481E-4,1.9801663579928037
Topic 17, CVC-UNCC-07-13,0.14731499916422333,412.18736766149686
Topic 17, CVC-UNCC-07-14,3.317510522928345E-4,0.885775309621868
Topic 17, CVC-UNCC-07-15,0.0012133329075559537,2.0541726124922297
Topic 17, CVC-UNCC-07-16,-4.3220162929076675E-6,-0.010753176536754276
Topic 17, CVC-UNCC-08-01,2.4035523332498153E-4,0.6371817235445261
Topic 17, CVC-UNCC-08-02,1.8187250874720452E-6,0.004859633433725305
